Name,Org,Tier,Longitude,Latitude,LightTone
changi,Changi Airport,Hero,103.9865,1.3644,Amber
dbs,DBS,Hero,103.8540,1.2790,Cyan
ocbc,OCBC,Hero,103.8492,1.2846,Cyan
ngs,NGS,Hero,103.8513,1.2903,Cyan
frasers,Frasers,Hero,103.8465,1.2770,Cyan
with,WITH,Hero,103.8450,1.2815,Cyan
psa,PSA,Hero,103.8030,1.2740,Cyan
mse,MSE,Hero,103.8320,1.3110,Cyan
hdb,HDB,Hero,103.8490,1.3330,Cyan
stengg,ST Engineering,Hero,103.8510,1.3790,Cyan
htx,HTX,Hero,103.7880,1.3070,Cyan
mock0,Tuas Mega Port,Mock,103.6480,1.2830,Cyan
mock1,Jurong Island Energy Hub,Mock,103.7000,1.2660,Cyan
mock2,Jurong Logistics Campus,Mock,103.7430,1.3340,Cyan
mock3,NTU Smart Campus,Mock,103.6830,1.3480,Cyan
mock4,Tengah Eco Town,Mock,103.7160,1.3740,Cyan
mock5,Kranji AgriTech Park,Mock,103.7620,1.4250,Cyan
mock6,Woodlands Health Campus,Mock,103.7860,1.4370,Cyan
mock7,Sembawang Shipyard,Mock,103.8200,1.4490,Cyan
mock8,Yishun Community Hub,Mock,103.8350,1.4290,Cyan
mock9,Mandai Wildlife Reserve,Mock,103.7890,1.4040,Cyan
mock10,Seletar Aerospace Park,Mock,103.8670,1.4100,Cyan
mock11,Punggol Digital District,Mock,103.9060,1.4050,Cyan
mock12,Sengkang Grid Cluster,Mock,103.8950,1.3920,Cyan
mock13,Pasir Ris Central,Mock,103.9490,1.3730,Cyan
mock14,Tampines Regional Centre,Mock,103.9450,1.3540,Cyan
mock15,Changi Business Park,Mock,103.9640,1.3340,Cyan
mock16,Expo & Convention Centre,Mock,103.9610,1.3350,Cyan
mock17,Bedok Integrated Complex,Mock,103.9300,1.3240,Cyan
mock18,Paya Lebar Quarter,Mock,103.8930,1.3180,Cyan
mock19,Kallang Sports Hub,Mock,103.8740,1.3040,Cyan
mock20,Orchard Retail Belt,Mock,103.8320,1.3040,Cyan
mock21,one-north Innovation Park,Mock,103.7870,1.2990,Cyan
mock22,Mapletree Business City,Mock,103.7990,1.2760,Cyan
mock23,Sentosa Resorts,Mock,103.8300,1.2490,Cyan
